,Id,geometry,Nearest_Node_ID,Nearest_Cooling_Center,Cooling_Center_ID,Driving_Time_Minutes
776,0,"POLYGON Z ((-93.55690000019968 41.58449999988079 0, -93.55690000019968 41.584400000050664 0, -93.55690000019968 41.584400000050664 0, -93.55690000019968 41.58430000022054 0, -93.5570000000298 41.58430000022054 0, -93.5570000000298 41.58449999988079 0, -93.55690000019968 41.58449999988079 0))",160935836.0,East Side Library,160775687.0,46.0
777,0,"POLYGON Z ((-93.5706000002101 41.59429999999702 0, -93.5706000002101 41.594100000336766 0, -93.57070000004023 41.594100000336766 0, -93.57070000004023 41.59420000016689 0, -93.57070000004023 41.59420000016689 0, -93.57070000004023 41.59429999999702 0, -93.5706000002101 41.59429999999702 0))",160913712.0,East Side Library,160775687.0,28.0
778,0,"POLYGON Z ((-93.57110000029206 41.6000999994576 0, -93.57120000012219 41.6000999994576 0, -93.57120000012219 41.6000999994576 0, -93.57110000029206 41.6000999994576 0, -93.57110000029206 41.6000999994576 0))",5838882117.0,East Side Library,160775687.0,20.0
779,0,"POLYGON Z ((-93.55850000027567 41.57479999959469 0, -93.55999999959022 41.57479999959469 0, -93.55999999959022 41.57499999925494 0, -93.55850000027567 41.57499999925494 0, -93.55850000027567 41.57479999959469 0))",160927367.0,East Side Library,160775687.0,52.0
780,0,"POLYGON Z ((-93.57340000011027 41.59449999965727 0, -93.5734999999404 41.59449999965727 0, -93.5734999999404 41.5945999994874 0, -93.57340000011027 41.5945999994874 0, -93.57340000011027 41.59449999965727 0))",160913711.0,East Side Library,160775687.0,30.0
781,0,"POLYGON Z ((-93.56130000017583 41.583300000056624 0, -93.56159999966621 41.583300000056624 0, -93.56159999966621 41.58339999988675 0, -93.56130000017583 41.58339999988675 0, -93.56130000017583 41.583300000056624 0))",160859565.0,East Side Library,160775687.0,50.0
782,0,"POLYGON Z ((-93.56149999983609 41.576799999922514 0, -93.56149999983609 41.576799999922514 0, -93.56149999983609 41.576799999922514 0, -93.56149999983609 41.576799999922514 0, -93.56149999983609 41.576799999922514 0))",160805779.0,East Side Library,160775687.0,54.0
783,0,"POLYGON Z ((-93.57650000043213 41.6000999994576 0, -93.57650000043213 41.59999999962747 0, -93.57670000009239 41.59999999962747 0, -93.57670000009239 41.6000999994576 0, -93.57650000043213 41.6000999994576 0))",160913349.0,East Side Library,160775687.0,26.0
784,0,"POLYGON Z ((-93.56269999966025 41.592000000178814 0, -93.5628000004217 41.592000000178814 0, -93.5628000004217 41.59210000000894 0, -93.56269999966025 41.59210000000894 0, -93.56269999966025 41.592000000178814 0))",160972041.0,East Side Library,160775687.0,34.0
785,0,"POLYGON Z ((-93.56290000025183 41.59080000035465 0, -93.56290000025183 41.59080000035465 0, -93.56300000008196 41.59080000035465 0, -93.56300000008196 41.590900000184774 0, -93.56290000025183 41.59080000035465 0))",160730697.0,East Side Library,160775687.0,38.0
786,0,"POLYGON Z ((-93.56329999957234 41.5812999997288 0, -93.56329999957234 41.58119999989867 0, -93.56340000033379 41.58119999989867 0, -93.56340000033379 41.5812999997288 0, -93.56329999957234 41.5812999997288 0))",4119358010.0,East Side Library,160775687.0,54.0
787,0,"POLYGON Z ((-93.56340000033379 41.59860000014305 0, -93.56340000033379 41.59860000014305 0, -93.56350000016391 41.59860000014305 0, -93.56350000016391 41.59860000014305 0, -93.56340000033379 41.59860000014305 0))",160895359.0,East Side Library,160775687.0,24.0
788,0,"POLYGON Z ((-93.58100000023842 41.598500000312924 0, -93.58100000023842 41.598500000312924 0, -93.58100000023842 41.598500000312924 0, -93.58100000023842 41.598500000312924 0, -93.58100000023842 41.598500000312924 0))",160895323.0,East Side Library,160775687.0,34.0
789,0,"POLYGON Z ((-93.56359999999404 41.59889999963343 0, -93.56359999999404 41.59889999963343 0, -93.56359999999404 41.59889999963343 0, -93.56359999999404 41.59889999963343 0, -93.56359999999404 41.59889999963343 0))",160895359.0,East Side Library,160775687.0,24.0
790,0,"POLYGON Z ((-93.56419999990612 41.592000000178814 0, -93.56429999973625 41.592000000178814 0, -93.56429999973625 41.59210000000894 0, -93.56419999990612 41.59210000000894 0, -93.56419999990612 41.592000000178814 0))",160972041.0,East Side Library,160775687.0,34.0
791,0,"POLYGON Z ((-93.56570000015199 41.59190000034869 0, -93.56579999998212 41.59190000034869 0, -93.56579999998212 41.592000000178814 0, -93.56570000015199 41.592000000178814 0, -93.56570000015199 41.59190000034869 0))",160968764.0,East Side Library,160775687.0,32.0
792,0,"POLYGON Z ((-93.57180000003427 41.59349999949336 0, -93.57199999969453 41.59349999949336 0, -93.57199999969453 41.59359999932349 0, -93.57180000003427 41.59359999932349 0, -93.57180000003427 41.59349999949336 0))",160932673.0,East Side Library,160775687.0,32.0
